file,base,total_verse_lines,with_expected_block_id,with_any_block_id,missing_block_id
deuteronomy/deuteronomy-17.md,deuteronomy-17,20,20,20,0
deuteronomy/deuteronomy-07.md,deuteronomy-07,26,26,26,0
deuteronomy/deuteronomy-33.md,deuteronomy-33,29,29,29,0
deuteronomy/deuteronomy-13.md,deuteronomy-13,19,19,19,0
deuteronomy/deuteronomy-27.md,deuteronomy-27,26,26,26,0
deuteronomy/deuteronomy-03.md,deuteronomy-03,29,29,29,0
deuteronomy/deuteronomy-12.md,deuteronomy-12,31,31,31,0
deuteronomy/deuteronomy-26.md,deuteronomy-26,19,19,19,0
deuteronomy/deuteronomy-02.md,deuteronomy-02,37,37,37,0
deuteronomy/deuteronomy-22.md,deuteronomy-22,29,29,29,0
deuteronomy/deuteronomy-16.md,deuteronomy-16,22,22,22,0
deuteronomy/deuteronomy-06.md,deuteronomy-06,0,0,0,0
deuteronomy/deuteronomy-32.md,deuteronomy-32,52,52,52,0
deuteronomy/deuteronomy-29.md,deuteronomy-29,28,28,28,0
deuteronomy/deuteronomy-19.md,deuteronomy-19,21,21,21,0
deuteronomy/deuteronomy-09.md,deuteronomy-09,29,29,29,0
deuteronomy/deuteronomy-18.md,deuteronomy-18,22,22,22,0
deuteronomy/deuteronomy-08.md,deuteronomy-08,20,20,20,0
deuteronomy/deuteronomy-28.md,deuteronomy-28,68,68,68,0
deuteronomy/deuteronomy-11.md,deuteronomy-11,32,32,32,0
deuteronomy/deuteronomy-25.md,deuteronomy-25,19,19,19,0
deuteronomy/deuteronomy-01.md,deuteronomy-01,46,46,46,0
deuteronomy/deuteronomy-21.md,deuteronomy-21,22,22,22,0
deuteronomy/deuteronomy-15.md,deuteronomy-15,23,23,23,0
deuteronomy/deuteronomy-05.md,deuteronomy-05,33,33,33,0
deuteronomy/deuteronomy-31.md,deuteronomy-31,30,30,30,0
deuteronomy/deuteronomy-20.md,deuteronomy-20,18,18,18,0
deuteronomy/deuteronomy-14.md,deuteronomy-14,29,29,29,0
deuteronomy/deuteronomy-04.md,deuteronomy-04,49,49,49,0
deuteronomy/deuteronomy-30.md,deuteronomy-30,20,20,20,0
deuteronomy/deuteronomy-10.md,deuteronomy-10,22,22,22,0
deuteronomy/deuteronomy-24.md,deuteronomy-24,22,22,22,0
deuteronomy/deuteronomy-34.md,deuteronomy-34,12,12,12,0
2-maccabees/2-maccabees-14.md,2-maccabees-14,0,0,0,0
2-maccabees/2-maccabees-04.md,2-maccabees-04,0,0,0,0
2-maccabees/2-maccabees-10.md,2-maccabees-10,0,0,0,0
2-maccabees/2-maccabees-11.md,2-maccabees-11,0,0,0,0
2-maccabees/2-maccabees-01.md,2-maccabees-01,36,36,36,0
2-maccabees/2-maccabees-15.md,2-maccabees-15,8,8,8,0
2-maccabees/2-maccabees-05.md,2-maccabees-05,0,0,0,0
2-maccabees/2-maccabees-08.md,2-maccabees-08,0,0,0,0
2-maccabees/2-maccabees-09.md,2-maccabees-09,0,0,0,0
2-maccabees/2-maccabees-12.md,2-maccabees-12,0,0,0,0
2-maccabees/2-maccabees-02.md,2-maccabees-02,1,1,1,0
2-maccabees/2-maccabees-06.md,2-maccabees-06,0,0,0,0
2-maccabees/2-maccabees-07.md,2-maccabees-07,0,0,0,0
2-maccabees/2-maccabees-13.md,2-maccabees-13,0,0,0,0
2-maccabees/2-maccabees-03.md,2-maccabees-03,0,0,0,0
2-kings/2-kings-09.md,2-kings-09,37,37,37,0
2-kings/2-kings-19.md,2-kings-19,36,36,36,0
2-kings/2-kings-08.md,2-kings-08,28,28,28,0
2-kings/2-kings-18.md,2-kings-18,36,36,36,0
2-kings/2-kings-07.md,2-kings-07,20,20,20,0
2-kings/2-kings-17.md,2-kings-17,41,41,41,0
2-kings/2-kings-23.md,2-kings-23,37,37,37,0
2-kings/2-kings-03.md,2-kings-03,27,27,27,0
2-kings/2-kings-13.md,2-kings-13,25,25,25,0
2-kings/2-kings-02.md,2-kings-02,25,25,25,0
2-kings/2-kings-12.md,2-kings-12,22,22,22,0
2-kings/2-kings-06.md,2-kings-06,32,32,32,0
2-kings/2-kings-16.md,2-kings-16,20,20,20,0
2-kings/2-kings-22.md,2-kings-22,20,20,20,0
2-kings/2-kings-01.md,2-kings-01,18,18,18,0
2-kings/2-kings-25.md,2-kings-25,30,30,30,0
2-kings/2-kings-11.md,2-kings-11,20,20,20,0
2-kings/2-kings-05.md,2-kings-05,27,27,27,0
2-kings/2-kings-15.md,2-kings-15,38,38,38,0
2-kings/2-kings-21.md,2-kings-21,26,26,26,0
2-kings/2-kings-04.md,2-kings-04,44,44,44,0
2-kings/2-kings-14.md,2-kings-14,29,29,29,0
2-kings/2-kings-20.md,2-kings-20,21,21,21,0
2-kings/2-kings-24.md,2-kings-24,20,20,20,0
2-kings/2-kings-10.md,2-kings-10,36,36,36,0
hebrews/hebrews-04.md,hebrews-04,16,16,16,0
hebrews/hebrews-10.md,hebrews-10,39,39,39,0
hebrews/hebrews-11.md,hebrews-11,40,40,40,0
hebrews/hebrews-01.md,hebrews-01,14,14,14,0
hebrews/hebrews-05.md,hebrews-05,14,14,14,0
hebrews/hebrews-08.md,hebrews-08,13,13,13,0
hebrews/hebrews-09.md,hebrews-09,28,28,28,0
hebrews/hebrews-12.md,hebrews-12,27,27,27,0
hebrews/hebrews-02.md,hebrews-02,17,17,17,0
hebrews/hebrews-06.md,hebrews-06,18,18,18,0
hebrews/hebrews-07.md,hebrews-07,28,28,28,0
hebrews/hebrews-13.md,hebrews-13,24,24,24,0
hebrews/hebrews-03.md,hebrews-03,19,19,19,0
philemon/philemon-01.md,philemon-01,25,25,25,0
ephesians/ephesians-01.md,ephesians-01,23,23,23,0
ephesians/ephesians-05.md,ephesians-05,33,33,33,0
ephesians/ephesians-04.md,ephesians-04,31,31,31,0
ephesians/ephesians-03.md,ephesians-03,21,21,21,0
ephesians/ephesians-02.md,ephesians-02,22,22,22,0
ephesians/ephesians-06.md,ephesians-06,24,24,24,0
daniel/daniel-05.md,daniel-05,30,30,30,0
daniel/daniel-11.md,daniel-11,45,45,45,0
daniel/daniel-01.md,daniel-01,21,21,21,0
daniel/daniel-10.md,daniel-10,21,21,21,0
daniel/daniel-14.md,daniel-14,42,42,42,0
daniel/daniel-04.md,daniel-04,33,33,33,0
daniel/daniel-09.md,daniel-09,27,27,27,0
daniel/daniel-08.md,daniel-08,27,27,27,0
daniel/daniel-13.md,daniel-13,64,64,64,0
daniel/daniel-03.md,daniel-03,100,100,100,0
daniel/daniel-07.md,daniel-07,28,28,28,0
daniel/daniel-06.md,daniel-06,29,29,29,0
daniel/daniel-12.md,daniel-12,13,13,13,0
daniel/daniel-02.md,daniel-02,49,49,49,0
jude/jude-01.md,jude-01,25,25,25,0
mark/mark-16.md,mark-16,20,20,20,0
mark/mark-06.md,mark-06,56,56,56,0
mark/mark-12.md,mark-12,44,44,44,0
mark/mark-02.md,mark-02,26,26,26,0
mark/mark-13.md,mark-13,37,37,37,0
mark/mark-03.md,mark-03,35,35,35,0
mark/mark-07.md,mark-07,36,36,36,0
mark/mark-08.md,mark-08,37,37,37,0
mark/mark-09.md,mark-09,47,47,47,0
mark/mark-10.md,mark-10,51,51,51,0
mark/mark-14.md,mark-14,72,72,72,0
mark/mark-04.md,mark-04,41,41,41,0
mark/mark-15.md,mark-15,46,46,46,0
mark/mark-05.md,mark-05,43,43,43,0
mark/mark-11.md,mark-11,32,32,32,0
mark/mark-01.md,mark-01,45,45,45,0
romans/romans-09.md,romans-09,33,33,33,0
romans/romans-08.md,romans-08,38,38,38,0
romans/romans-07.md,romans-07,25,25,25,0
romans/romans-03.md,romans-03,31,31,31,0
romans/romans-13.md,romans-13,14,14,14,0
romans/romans-02.md,romans-02,29,29,29,0
romans/romans-12.md,romans-12,21,21,21,0
romans/romans-06.md,romans-06,22,22,22,0
romans/romans-16.md,romans-16,27,27,27,0
romans/romans-01.md,romans-01,31,31,31,0
romans/romans-11.md,romans-11,35,35,35,0
romans/romans-05.md,romans-05,21,21,21,0
romans/romans-15.md,romans-15,32,32,32,0
romans/romans-04.md,romans-04,25,25,25,0
romans/romans-14.md,romans-14,23,23,23,0
romans/romans-10.md,romans-10,21,21,21,0
judges/judges-11.md,judges-11,40,40,40,0
judges/judges-01.md,judges-01,36,36,36,0
judges/judges-21.md,judges-21,25,25,25,0
judges/judges-15.md,judges-15,20,20,20,0
judges/judges-05.md,judges-05,31,31,31,0
judges/judges-20.md,judges-20,48,48,48,0
judges/judges-14.md,judges-14,20,20,20,0
judges/judges-04.md,judges-04,24,24,24,0
judges/judges-10.md,judges-10,18,18,18,0
judges/judges-19.md,judges-19,30,30,30,0
judges/judges-09.md,judges-09,57,57,57,0
judges/judges-18.md,judges-18,31,31,31,0
judges/judges-08.md,judges-08,35,35,35,0
judges/judges-17.md,judges-17,13,13,13,0
judges/judges-07.md,judges-07,25,25,25,0
judges/judges-13.md,judges-13,25,25,25,0
judges/judges-03.md,judges-03,30,30,30,0
judges/judges-12.md,judges-12,15,15,15,0
judges/judges-02.md,judges-02,23,23,23,0
judges/judges-16.md,judges-16,31,31,31,0
judges/judges-06.md,judges-06,40,40,40,0
2-peter/2-peter-02.md,2-peter-02,22,22,22,0
2-peter/2-peter-03.md,2-peter-03,18,18,18,0
2-peter/2-peter-01.md,2-peter-01,20,20,20,0
jonah/jonah-02.md,jonah-02,11,11,11,0
jonah/jonah-03.md,jonah-03,10,10,10,0
jonah/jonah-04.md,jonah-04,11,11,11,0
jonah/jonah-01.md,jonah-01,16,16,16,0
titus/titus-01.md,titus-01,16,16,16,0
titus/titus-03.md,titus-03,15,15,15,0
titus/titus-02.md,titus-02,15,15,15,0
2-timothy/2-timothy-03.md,2-timothy-03,17,17,17,0
2-timothy/2-timothy-02.md,2-timothy-02,24,24,24,0
2-timothy/2-timothy-01.md,2-timothy-01,17,17,17,0
2-timothy/2-timothy-04.md,2-timothy-04,22,22,22,0
1-maccabees/1-maccabees-09.md,1-maccabees-09,72,72,72,0
1-maccabees/1-maccabees-08.md,1-maccabees-08,31,31,31,0
1-maccabees/1-maccabees-07.md,1-maccabees-07,49,49,49,0
1-maccabees/1-maccabees-03.md,1-maccabees-03,60,60,60,0
1-maccabees/1-maccabees-13.md,1-maccabees-13,50,50,50,0
1-maccabees/1-maccabees-02.md,1-maccabees-02,68,68,68,0
1-maccabees/1-maccabees-12.md,1-maccabees-12,53,53,53,0
1-maccabees/1-maccabees-06.md,1-maccabees-06,60,60,60,0
1-maccabees/1-maccabees-16.md,1-maccabees-16,24,24,24,0
1-maccabees/1-maccabees-01.md,1-maccabees-01,63,63,63,0
1-maccabees/1-maccabees-11.md,1-maccabees-11,72,72,72,0
